[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:19:49
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
002:33:00,000	-39,9	23,4	23,9	-39,9	0,0	0,0	0,0	0,950	0,000	5020,898	0,0	-39,7		13:52:49:473		
002:34:00,000	-37,4	24,8	24,1	-37,4	0,0	0,0	0,0	0,950	0,000	5020,944	0,0	-37,1		13:53:49:473		
002:35:00,000	-36,1	26,4	25,2	-36,1	0,0	0,0	0,0	0,950	0,000	5022,383	0,0	-35,9		13:54:49:473		
002:36:00,000	-37,4	27,1	26,2	-37,4	0,0	0,0	0,0	0,950	0,000	5023,565	0,0	-37,1		13:55:49:473		
002:37:00,000	-37,5	27,8	27,0	-37,4	0,0	0,0	0,0	0,950	0,000	5025,806	0,0	-37,5		13:56:49:473		
002:38:00,000	-37,4	28,8	27,7	-37,3	0,0	0,0	0,0	0,950	0,000	5025,565	0,0	-37,1		13:57:49:473		
002:39:00,000	-37,0	29,9	28,7	-37,0	0,0	0,0	0,0	0,950	0,000	5027,953	0,0	-36,7		13:58:49:473		
002:40:00,000	-36,6	31,0	29,7	-36,6	0,0	0,0	0,0	0,950	0,000	5028,963	0,0	-36,2		13:59:49:473		
002:41:00,000	-36,7	31,3	30,3	-36,7	0,0	0,0	0,0	0,950	0,000	5030,343	0,0	-36,4		14:00:49:473		
002:42:00,000	-37,1	31,2	30,4	-37,1	0,0	0,0	0,0	0,950	0,000	5030,111	0,0	-37,0		14:01:49:473		
002:43:00,000	-19,6	30,4	30,4	-19,6	0,0	0,0	0,0	0,950	0,000	5028,149	0,0	-19,3		14:02:49:473		
002:44:00,000	0,4	29,1	29,6	0,4	0,0	0,0	0,0	0,950	0,000	5027,037	0,0	0,7		14:03:49:473		
002:45:00,000	4,7	28,2	28,8	4,7	0,0	0,0	0,0	0,950	0,000	5026,379	0,0	4,9		14:04:49:473		
002:46:00,000	9,1	27,5	28,3	9,1	0,0	0,0	0,0	0,950	0,000	5026,704	0,0	9,3		14:05:49:473		
002:47:00,000	9,9	28,1	28,1	9,9	0,0	0,0	0,0	0,950	0,000	5028,528	0,0	10,1		14:06:49:473		
002:48:00,000	-5,7	28,4	28,1	-5,7	0,0	0,0	0,0	0,950	0,000	5026,284	0,0	-5,8		14:07:49:473		
002:49:00,000	-29,8	28,3	28,1	-29,8	0,0	0,0	0,0	0,950	0,000	5027,861	0,0	-29,5		14:08:49:473		
002:50:00,000	-34,8	27,7	28,0	-34,8	0,0	0,0	0,0	0,950	0,000	5026,056	0,0	-35,0		14:09:49:473		
002:51:00,000	-19,8	27,7	27,7	-19,8	0,0	0,0	0,0	0,950	0,000	5025,278	0,0	-19,7		14:10:49:473		
002:52:00,000	-28,3	28,2	27,8	-28,3	0,0	0,0	0,0	0,950	0,000	5024,872	0,0	-28,1		14:11:49:473		
002:53:00,000	-34,2	27,5	27,8	-34,3	0,0	0,0	0,0	0,950	0,000	5025,417	0,0	-34,1		14:12:49:473		
002:54:00,000	-41,9	26,6	27,3	-41,9	0,0	0,0	0,0	0,950	0,000	5024,148	0,0	-41,8		14:13:49:473		
002:55:00,000	-37,2	25,7	26,4	-37,2	0,0	0,0	0,0	0,950	0,000	5023,222	0,0	-37,0		14:14:49:473		
002:56:00,000	-32,8	25,8	26,1	-32,8	0,0	0,0	0,0	0,950	0,000	5023,174	0,0	-32,6		14:15:49:473		
002:57:00,000	-34,2	26,9	26,2	-34,2	0,0	0,0	0,0	0,950	0,000	5023,879	0,0	-34,0		14:16:49:473		
002:58:00,000	-34,9	27,4	26,7	-34,9	0,0	0,0	0,0	0,950	0,000	5023,963	0,0	-34,7		14:17:49:473		
002:59:00,000	-35,8	28,3	27,5	-35,8	0,0	0,0	0,0	0,950	0,000	5025,037	0,0	-35,5		14:18:49:473		
003:00:00,000	-37,2	27,3	27,5	-37,2	0,0	0,0	0,0	0,950	0,000	5024,417	0,0	-37,0		14:19:49:473		
003:01:00,000	-37,2	26,9	27,1	-37,1	0,0	0,0	0,0	0,950	0,000	5023,550	0,0	-36,9		14:20:49:473		
003:02:00,000	-37,3	26,7	27,0	-37,3	0,0	0,0	0,0	0,950	0,000	5024,167	0,0	-37,3		14:21:49:473		
003:03:00,000	-39,2	26,9	27,0	-39,2	0,0	0,0	0,0	0,950	0,000	5025,174	0,0	-39,2		14:22:49:473		
003:04:00,000	-37,6	28,0	27,6	-37,6	0,0	0,0	0,0	0,950	0,000	5025,546	0,0	-37,4		14:23:49:473		
003:05:00,000	-36,9	28,0	27,9	-36,8	0,0	0,0	0,0	0,950	0,000	5025,657	0,0	-36,8		14:24:49:473		
003:06:00,000	-36,5	28,5	28,0	-36,4	0,0	0,0	0,0	0,950	0,000	5025,752	0,0	-36,3		14:25:49:473		
003:07:00,000	-37,1	27,9	28,1	-37,1	0,0	0,0	0,0	0,950	0,000	5026,907	0,0	-36,9		14:26:49:473		
